meta_prompt,vanilla_prompt,n1,obj1,n2,obj2,synthetic_prompt
"In one sentence, Describe a real scene about 2 sink.",2 sink,2,sink,0,,"two white porcelain sinks sit side-by-side on a white marble countertop, with a chrome faucet and handles gleaming in the light."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,a group of friends are playing catch with a bright yellow frisbee in a grassy park on a sunny day.
"In one sentence, Describe a real scene about 1 clock.",1 clock,1,clock,0,,"at one o'clock, the sun is shining brightly and birds are chirping in the trees as people go about their daily activities."
"In one sentence, Describe a real scene about 2 fork.",2 fork,2,fork,0,,"two forks are resting side-by-side on a dinner plate, ready to be used for a meal."
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,"a steaming mug of coffee sits on a wooden table, the aroma of its freshly-brewed contents filling the room."
"In one sentence, Describe a real scene about 1 toaster.",1 toaster,1,toaster,0,,"a shiny silver toaster sits on the kitchen counter, its two slots ready to make a perfect piece of toast."
"In one sentence, Describe a real scene about 2 carrot.",2 carrot,2,carrot,0,,"two carrots sit side-by-side in a garden, their bright orange color standing out against the green grass."
"In one sentence, Describe a real scene about 2 carrot.",2 carrot,2,carrot,0,,"two carrots lay side-by-side in a garden bed, their bright orange color standing out against the green grass."
"In one sentence, Describe a real scene about 1 bench.",1 bench,1,bench,0,,"a lone bench sits in a park, overlooking a tranquil pond and surrounded by lush green trees."
"In one sentence, Describe a real scene about 1 kite.",1 kite,1,kite,0,,"a bright yellow kite is soaring through the sky, its long tail streaming behind it in the gentle breeze."
"In one sentence, Describe a real scene about 1 dog.",1 dog,1,dog,0,,"a white and brown spotted golden retriever is running through a field of tall grass, its tail wagging happily."
"In one sentence, Describe a real scene about 1 cat.",1 cat,1,cat,0,,"a black and white cat is perched atop a windowsill, watching birds in the yard below."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,"two spoons are sitting side-by-side on a kitchen counter, reflecting the morning sunlight."
"In one sentence, Describe a real scene about 1 bus.",1 bus,1,bus,0,,"a single bus is stopped at a bus stop, with people of all ages waiting to board."
"In one sentence, Describe a real scene about 1 apple.",1 apple,1,apple,0,,"one bright red apple sits atop a wooden table, its glossy skin glimmering in the sunlight."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a blue sedan is parked on the side of the road, its engine idling as its driver waits for their passenger to arrive."
"In one sentence, Describe a real scene about 1 umbrella.",1 umbrella,1,umbrella,0,,"a woman is walking down the street, carrying a bright blue umbrella to protect herself from the rain."
"In one sentence, Describe a real scene about 2 pizza.",2 pizza,2,pizza,0,,"two slices of pizza are sitting on a plate, with steam rising from them, ready to be enjoyed."
"In one sentence, Describe a real scene about 2 bird.",2 bird,2,bird,0,,"two birds are perched atop a tree, chirping and flapping their wings in the bright morning sun."
"In one sentence, Describe a real scene about 2 mouse.",2 mouse,2,mouse,0,,"two mice scurrying around a kitchen floor, searching for crumbs and scraps of food."
"In one sentence, Describe a real scene about 2 dining table.",2 dining table,2,dining table,0,,"two wooden dining tables with white tablecloths, surrounded by chairs, are set up in a cozy dining room, with a chandelier hanging overhead and a window overlooking the garden."
"In one sentence, Describe a real scene about 2 skis.",2 skis,2,skis,0,,"two skiers are gliding down a snowy mountain, their skis carving tracks in the fresh powder."
"In one sentence, Describe a real scene about 1 apple.",1 apple,1,apple,0,,"a bright red apple sits atop a wooden table, its glossy skin glimmering in the sunlight."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,"a group of friends are gathered in a park, throwing a frisbee back and forth in the sunshine."
"In one sentence, Describe a real scene about 2 traffic light.",2 traffic light,2,traffic light,0,,"two traffic lights are side by side at an intersection, one red and one green, signaling cars to stop and go."
"In one sentence, Describe a real scene about 1 baseball glove.",1 baseball glove,1,baseball glove,0,,"a young boy is standing in the grass, proudly holding a brand new baseball glove up in the air with a huge smile on his face."
"In one sentence, Describe a real scene about 1 elephant.",1 elephant,1,elephant,0,,"an elephant is standing in a grassy field, its trunk swaying gently as it surveys its surroundings."
"In one sentence, Describe a real scene about 2 refrigerator.",2 refrigerator,2,refrigerator,0,,"two refrigerators stand side-by-side in a kitchen, their cold temperatures keeping food fresh and their shelves stocked with various snacks and meals."
"In one sentence, Describe a real scene about 2 chair.",2 chair,2,chair,0,,"two chairs sit side-by-side in a cozy living room, inviting people to sit and relax."
"In one sentence, Describe a real scene about 2 hot dog.",2 hot dog,2,hot dog,0,,"two hot dogs are sizzling on a grill, with steam rising and the smell of spices wafting through the air."
"In one sentence, Describe a real scene about 2 tie.",2 tie,2,tie,0,,"two people are standing in a room, looking at each other with ties around their necks, both of them dressed up for a formal event."
"In one sentence, Describe a real scene about 1 truck.",1 truck,1,truck,0,,"a large red pickup truck is parked in a gravel lot, its engine idling and exhaust fumes rising into the air."
"In one sentence, Describe a real scene about 1 mouse.",1 mouse,1,mouse,0,,"a single mouse scurries across the floor, searching for food in the darkness of the night."
"In one sentence, Describe a real scene about 1 skateboard.",1 skateboard,1,skateboard,0,,"a teenage boy is skateboarding down a sidewalk, doing tricks and enjoying the warm summer sun."
"In one sentence, Describe a real scene about 1 wine glass.",1 wine glass,1,wine glass,0,,"a single, empty wine glass sits on a table, its crystal surface catching the light of the room."
"In one sentence, Describe a real scene about 2 book.",2 book,2,book,0,,"two books are sitting side by side on a bookshelf, with one being a hardcover and the other being a paperback."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two remote workers sit side by side in their respective homes, connected by video chat, discussing their project progress."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples sit side by side on a wooden table, one a bright red, the other a pale green."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"a single silver fork is resting on a white plate, surrounded by a few crumbs from a recently eaten meal."
"In one sentence, Describe a real scene about 2 airplane.",2 airplane,2,airplane,0,,"two airplanes are flying in the sky side-by-side, leaving trails of white smoke in the air."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting at their respective homes, video chatting on their computers while discussing a project they are working on remotely."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large brown bear is standing amongst the trees in a forest, looking around curiously."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,"a group of friends are playing frisbee in a park on a sunny day, laughing and smiling as they throw the frisbee back and forth."
"In one sentence, Describe a real scene about 2 frisbee.",2 frisbee,2,frisbee,0,,"two friends are playing frisbee in a park, laughing and having a good time."
"In one sentence, Describe a real scene about 1 broccoli.",1 broccoli,1,broccoli,0,,"a single broccoli sits on a cutting board, its green florets standing tall and its stalks ready to be chopped."
"In one sentence, Describe a real scene about 1 knife.",1 knife,1,knife,0,,"a single shining knife sits atop a wooden cutting board, its sharp blade glinting in the light."
"In one sentence, Describe a real scene about 1 potted plant.",1 potted plant,1,potted plant,0,,"a bright green potted plant sits in the corner of the room, its leaves gently swaying in the breeze from the open window."
"In one sentence, Describe a real scene about 2 cup.",2 cup,2,cup,0,,"two ceramic cups filled with steaming hot coffee sit on a kitchen table, steam rising from their surfaces."
"In one sentence, Describe a real scene about 1 bench.",1 bench,1,bench,0,,"a lone bench sits in a quiet park, surrounded by lush green grass and tall trees."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,two spoons are resting side-by-side on a white linen napkin beside a half-empty cup of coffee.
"In one sentence, Describe a real scene about 2 fork.",2 fork,2,fork,0,,"two forks are sitting side by side on a dinner plate, ready to be used to eat a meal."
"In one sentence, Describe a real scene about 2 dining table.",2 dining table,2,dining table,0,,"two families are gathered around a large dining table, enjoying a meal and conversation together."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a bright red convertible sports car is parked in a sunny lot, glimmering in the sunlight."
"In one sentence, Describe a real scene about 1 motorcycle.",1 motorcycle,1,motorcycle,0,,"a single motorcycle is parked on the side of the road, its engine still warm from a recent ride."
"In one sentence, Describe a real scene about 2 dining table.",2 dining table,2,dining table,0,,"two families are sitting around two separate tables in a cozy restaurant, laughing and enjoying each other's company while they eat their meals."
"In one sentence, Describe a real scene about 1 refrigerator.",1 refrigerator,1,refrigerator,0,,"a white refrigerator hums in the corner of a kitchen, its shelves stocked with food and drinks."
"In one sentence, Describe a real scene about 2 knife.",2 knife,2,knife,0,,"two people are standing in a kitchen, one holding a knife in each hand and arguing heatedly."
"In one sentence, Describe a real scene about 1 handbag.",1 handbag,1,handbag,0,,"a black leather handbag with gold hardware is sitting on a wooden table, its contents spilling out onto the floor."
"In one sentence, Describe a real scene about 2 horse.",2 horse,2,horse,0,,"two horses are running together in a meadow, their manes and tails flowing in the wind."
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,"a white ceramic mug filled with steaming hot coffee sits on a wooden table, steam rising from the cup's rim."
"In one sentence, Describe a real scene about 2 toaster.",2 toaster,2,toaster,0,,"two toasters sitting side by side on a kitchen counter, each with a slice of bread in it, toasting away."
"In one sentence, Describe a real scene about 2 vase.",2 vase,2,vase,0,,"two vases sit side by side on a wooden table, each filled with a colorful array of fresh flowers."
"In one sentence, Describe a real scene about 1 hair drier.",1 hair drier,1,hair drier,0,,"a woman is using a powerful, hot pink hair dryer to quickly dry her long, dark hair."
"In one sentence, Describe a real scene about 2 bicycle.",2 bicycle,2,bicycle,0,,"two people are riding their bicycles side-by-side down a sunny street, chatting and enjoying the pleasant day."
"In one sentence, Describe a real scene about 1 snowboard.",1 snowboard,1,snowboard,0,,"a snowboarder is carving down a freshly powdered mountain, leaving a trail of snow in their wake."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large brown bear is standing on its hind legs, sniffing the air and looking around curiously."
"In one sentence, Describe a real scene about 2 airplane.",2 airplane,2,airplane,0,,"two airplanes soar across the sky, their wings glinting in the sunlight."
"In one sentence, Describe a real scene about 2 mouse.",2 mouse,2,mouse,0,,"two mice scurrying around the kitchen floor, searching for crumbs of food."
"In one sentence, Describe a real scene about 1 sheep.",1 sheep,1,sheep,0,,"a single white sheep is grazing in a lush green meadow, its wool glinting in the sunlight."
"In one sentence, Describe a real scene about 2 book.",2 book,2,book,0,,"two books are sitting side-by-side on a shelf, silently waiting to be read."
"In one sentence, Describe a real scene about 1 clock.",1 clock,1,clock,0,,"at 1 o'clock, the sun is shining brightly and birds are chirping in the trees as people walk around the park enjoying the warm weather."
"In one sentence, Describe a real scene about 1 bicycle.",1 bicycle,1,bicycle,0,,"a young boy is riding his bicycle around the neighborhood, enjoying the warm summer day."
"In one sentence, Describe a real scene about 2 sandwich.",2 sandwich,2,sandwich,0,,"two people are sitting at a cafe enjoying their sandwiches, chatting and laughing."
"In one sentence, Describe a real scene about 2 dining table.",2 dining table,2,dining table,0,,"two dining tables in a brightly lit room, each with four chairs around them, are filled with people laughing and enjoying their meals."
"In one sentence, Describe a real scene about 1 toothbrush.",1 toothbrush,1,toothbrush,0,,"a bright blue toothbrush sits upright in a white ceramic mug next to a sink, waiting to be used to clean someone's teeth."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a red sedan is driving down a sunny street, its engine humming softly."
"In one sentence, Describe a real scene about 2 person.",2 person,2,person,0,,"two people are sitting side-by-side on a park bench, talking and laughing together."
"In one sentence, Describe a real scene about 2 hair drier.",2 hair drier,2,hair drier,0,,"two people are standing side by side in a salon, each with a hair drier in their hands, drying their hair."
"In one sentence, Describe a real scene about 1 stop sign.",1 stop sign,1,stop sign,0,,"a red octagonal sign with the words ""stop"" printed in white letters stands at the side of the road, signaling drivers to come to a complete halt."
"In one sentence, Describe a real scene about 2 dog.",2 dog,2,dog,0,,"two dogs are running around in a park, barking and playing together."
"In one sentence, Describe a real scene about 2 parking meter.",2 parking meter,2,parking meter,0,,"two parking meters are standing side-by-side, both displaying the same time remaining before their time is up."
"In one sentence, Describe a real scene about 1 kite.",1 kite,1,kite,0,,"a bright yellow kite is soaring through the sky on a breezy day, its tail streaming behind it."
"In one sentence, Describe a real scene about 2 banana.",2 banana,2,banana,0,,"two bananas lay side-by-side on a wooden cutting board, waiting to be peeled and sliced."
"In one sentence, Describe a real scene about 2 backpack.",2 backpack,2,backpack,0,,"two hikers are standing side by side, each with a large backpack strapped to their backs, ready to embark on their journey."
"In one sentence, Describe a real scene about 1 surfboard.",1 surfboard,1,surfboard,0,,a sun-kissed surfer is riding a bright yellow surfboard in the waves of a crystal blue ocean.
"In one sentence, Describe a real scene about 2 skateboard.",2 skateboard,2,skateboard,0,,"two skateboarders are joyfully gliding down a sunny sidewalk, performing tricks and laughing together."
"In one sentence, Describe a real scene about 2 car.",2 car,2,car,0,,"two cars are stopped at a red light, waiting for it to turn green."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"a shiny silver fork lies on a white plate, waiting to be used to enjoy a delicious meal."
"In one sentence, Describe a real scene about 2 boat.",2 boat,2,boat,0,,"two boats are bobbing up and down in the gentle waves of the ocean, the sun glinting off their hulls."
"In one sentence, Describe a real scene about 2 traffic light.",2 traffic light,2,traffic light,0,,"two traffic lights are side by side, one red and one green, with cars stopped at the red light and cars passing through the green light."
"In one sentence, Describe a real scene about 2 sheep.",2 sheep,2,sheep,0,,"two sheep are standing in a meadow, grazing peacefully in the sunshine."
"In one sentence, Describe a real scene about 2 stop sign.",2 stop sign,2,stop sign,0,,"two stop signs stand side by side at a busy intersection, warning drivers to come to a complete stop before proceeding."
"In one sentence, Describe a real scene about 2 sheep.",2 sheep,2,sheep,0,,"two white sheep are standing in a grassy field, munching on some fresh green clover."
"In one sentence, Describe a real scene about 1 bowl.",1 bowl,1,bowl,0,,"a single white ceramic bowl sits on a wooden kitchen counter, filled to the brim with steaming hot vegetable soup."
"In one sentence, Describe a real scene about 1 couch.",1 couch,1,couch,0,,"a cozy off-white couch sits in the middle of a living room, inviting people to sit and relax."
"In one sentence, Describe a real scene about 1 bird.",1 bird,1,bird,0,,"a small bluebird is perched on a branch, chirping happily in the warm summer sunshine."
"In one sentence, Describe a real scene about 1 mouse.",1 mouse,1,mouse,0,,"a small mouse scurries across the kitchen floor, its tiny feet making soft tapping noises on the tile."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people sitting in different locations, communicating with each other via video call on their laptops."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,"two spoons sit side-by-side on a kitchen counter, reflecting the light from the window."
"In one sentence, Describe a real scene about 1 traffic light.",1 traffic light,1,traffic light,0,,"a red traffic light is illuminated at an intersection, signaling cars to stop and wait for the green light."
"In one sentence, Describe a real scene about 1 toilet.",1 toilet,1,toilet,0,,"a single white toilet sits in the corner of a brightly lit bathroom, its porcelain gleaming from a recent cleaning."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,"two spoons are sitting side-by-side on a kitchen counter, waiting to be used."
"In one sentence, Describe a real scene about 2 vase.",2 vase,2,vase,0,,"two vases sit side-by-side on a shelf, one a deep blue and the other a bright yellow."
"In one sentence, Describe a real scene about 1 tie.",1 tie,1,tie,0,,"a man is adjusting a navy blue tie around his neck in front of a mirror, preparing for a formal event."
"In one sentence, Describe a real scene about 1 bottle.",1 bottle,1,bottle,0,,"a single, green glass bottle is sitting on a wooden table in a sunlit room, the light reflecting off its sides."
"In one sentence, Describe a real scene about 1 banana.",1 banana,1,banana,0,,"a ripe yellow banana sits on a plate, its smooth skin glistening in the sunlight."
"In one sentence, Describe a real scene about 2 snowboard.",2 snowboard,2,snowboard,0,,"two snowboarders are carving down a snowy mountain, their boards leaving trails of powder in their wake."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people holding umbrellas stand in the rain, talking and smiling."
"In one sentence, Describe a real scene about 2 oven.",2 oven,2,oven,0,,"two ovens are in a kitchen, one is on and emitting a warm smell of freshly baked cookies and the other is off and waiting to be used."
"In one sentence, Describe a real scene about 2 pizza.",2 pizza,2,pizza,0,,"two pizzas are sitting on a plate, one with pepperoni and one with mushrooms, ready to be devoured."
"In one sentence, Describe a real scene about 2 pizza.",2 pizza,2,pizza,0,,"two pizzas are sitting on a kitchen counter, one with pepperoni and the other with mushrooms and peppers."
"In one sentence, Describe a real scene about 1 scissors.",1 scissors,1,scissors,0,,"a pair of scissors sits on a white table, glinting in the light."
"In one sentence, Describe a real scene about 1 broccoli.",1 broccoli,1,broccoli,0,,"a single green broccoli stalk sits on a cutting board, its florets ready to be chopped and cooked."
"In one sentence, Describe a real scene about 1 toothbrush.",1 toothbrush,1,toothbrush,0,,"a white toothbrush with blue bristles lies on a white sink countertop, ready to be used."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"a fork lies on a dinner plate, surrounded by a variety of colorful vegetables and a juicy steak."
"In one sentence, Describe a real scene about 1 skateboard.",1 skateboard,1,skateboard,0,,"a teenage boy is riding a bright red skateboard down a sidewalk, performing tricks and jumps along the way."
"In one sentence, Describe a real scene about 2 skateboard.",2 skateboard,2,skateboard,0,,"two skateboarders are performing tricks on their boards in a skate park, surrounded by cheering friends."
"In one sentence, Describe a real scene about 2 truck.",2 truck,2,truck,0,,"two semi-trucks are parked side-by-side in a large parking lot, their engines idling loudly."
"In one sentence, Describe a real scene about 2 bench.",2 bench,2,bench,0,,"two people are sitting on a park bench, enjoying the sunshine and chatting."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people walking side by side down a rainy street, each holding an umbrella to protect them from the rain."
"In one sentence, Describe a real scene about 1 cat.",1 cat,1,cat,0,,"a black and white cat is curled up in a sunny spot on the windowsill, basking in the warm rays of the sun."
"In one sentence, Describe a real scene about 1 sheep.",1 sheep,1,sheep,0,,"a white sheep is standing in a grassy meadow, grazing on the lush green vegetation."
"In one sentence, Describe a real scene about 2 person.",2 person,2,person,0,,"two people are sitting in a cafe, laughing and enjoying each other's company."
"In one sentence, Describe a real scene about 1 giraffe.",1 giraffe,1,giraffe,0,,"a tall, beautiful giraffe with long, spotted legs is standing in the african savannah, eating leaves from a tall tree."
"In one sentence, Describe a real scene about 2 clock.",2 clock,2,clock,0,,"two clocks sitting side-by-side on a wall, each ticking away the seconds."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,"a group of friends are gathered in a park, throwing a bright yellow frisbee back and forth."
"In one sentence, Describe a real scene about 2 tennis racket.",2 tennis racket,2,tennis racket,0,,"two tennis rackets lay side-by-side on a grassy court, ready to be used by two eager players."
"In one sentence, Describe a real scene about 1 zebra.",1 zebra,1,zebra,0,,"a single zebra stands in the grassy savannah, its white and black stripes standing out against the bright yellow sun."
"In one sentence, Describe a real scene about 2 surfboard.",2 surfboard,2,surfboard,0,,"two surfers are standing on the beach, preparing to paddle out into the ocean with their surfboards."
"In one sentence, Describe a real scene about 1 hot dog.",1 hot dog,1,hot dog,0,,"a young boy is sitting on a park bench, eagerly devouring a steaming hot dog topped with ketchup, mustard, and relish."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"one fork is lying on a white plate at a dinner table, surrounded by a variety of colorful dishes."
"In one sentence, Describe a real scene about 2 orange.",2 orange,2,orange,0,,two oranges are sitting side-by-side in a bowl of freshly-picked fruit.
"In one sentence, Describe a real scene about 2 suitcase.",2 suitcase,2,suitcase,0,,"two people are standing in an airport, each with a suitcase in hand, ready to board their flight."
"In one sentence, Describe a real scene about 1 suitcase.",1 suitcase,1,suitcase,0,,"a single red suitcase sits on the airport baggage carousel, waiting to be claimed by its owner."
"In one sentence, Describe a real scene about 2 knife.",2 knife,2,knife,0,,"two chefs are in a kitchen, one holding a sharp knife in each hand, preparing a meal."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples sit side by side on a wooden table, their glossy red and green skins gleaming in the sunlight."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people walking side-by-side in the rain, each carrying an umbrella to protect them from the rain."
"In one sentence, Describe a real scene about 1 bottle.",1 bottle,1,bottle,0,,"a single, empty glass bottle sits on a wooden table, its label slightly faded in the sunlight."
"In one sentence, Describe a real scene about 2 chair.",2 chair,2,chair,0,,"two chairs sit side by side in a cozy living room, inviting guests to sit and relax."
"In one sentence, Describe a real scene about 2 couch.",2 couch,2,couch,0,,"two comfy couches sit side by side in a cozy living room, inviting people to sit and relax."
"In one sentence, Describe a real scene about 1 suitcase.",1 suitcase,1,suitcase,0,,"a single, battered suitcase sits alone in the corner of a dimly-lit train station, its contents unknown."
"In one sentence, Describe a real scene about 1 suitcase.",1 suitcase,1,suitcase,0,,"a single, large, navy blue suitcase sits on the floor of an empty hotel room, waiting to be filled with the belongings of its next occupant."
"In one sentence, Describe a real scene about 2 parking meter.",2 parking meter,2,parking meter,0,,"two parking meters stand side-by-side, both displaying a bright green ""time remaining"" display and a flashing red ""expired"" light."
"In one sentence, Describe a real scene about 1 umbrella.",1 umbrella,1,umbrella,0,,"a woman is walking in the rain, holding a bright yellow umbrella over her head."
"In one sentence, Describe a real scene about 1 cake.",1 cake,1,cake,0,,"a delicious chocolate cake with a creamy white frosting and colorful sprinkles sits on a white plate, ready to be enjoyed."
"In one sentence, Describe a real scene about 2 tennis racket.",2 tennis racket,2,tennis racket,0,,"two tennis rackets lay side-by-side on the court, ready for an intense match."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people walking side by side down a rainy street, each holding a colorful umbrella to keep dry."
"In one sentence, Describe a real scene about 1 cell phone.",1 cell phone,1,cell phone,0,,"a man is sitting on a park bench, scrolling through the apps on his cell phone."
"In one sentence, Describe a real scene about 2 cup.",2 cup,2,cup,0,,"two cups of steaming hot coffee sit on the table, steam rising from their surfaces."
"In one sentence, Describe a real scene about 1 toaster.",1 toaster,1,toaster,0,,"a shiny silver toaster sits on the kitchen counter, ready to make some delicious toast."
"In one sentence, Describe a real scene about 1 bed.",1 bed,1,bed,0,,"a single bed with a white comforter and fluffy pillows sits in the corner of a cozy bedroom, inviting its occupant to relax and get a good night's sleep."
"In one sentence, Describe a real scene about 1 bench.",1 bench,1,bench,0,,"a lone wooden bench sits in a park, surrounded by lush green grass and tall trees, providing a peaceful spot to sit and relax."
"In one sentence, Describe a real scene about 2 person.",2 person,2,person,0,,"two people are sitting across from each other at a cafe, talking and laughing over coffee."
"In one sentence, Describe a real scene about 1 cake.",1 cake,1,cake,0,,"a freshly-baked yellow cake with chocolate frosting and colorful sprinkles sits atop a white plate, ready to be devoured."
"In one sentence, Describe a real scene about 2 cup.",2 cup,2,cup,0,,"two cups of steaming hot coffee sit on a table, steam rising from their tops."
"In one sentence, Describe a real scene about 2 hair drier.",2 hair drier,2,hair drier,0,,"two people are standing side-by-side in a hair salon, each holding a hair dryer and drying their hair."
"In one sentence, Describe a real scene about 2 bench.",2 bench,2,bench,0,,"two people are sitting on a bench in a park, chatting and enjoying the sunshine."
"In one sentence, Describe a real scene about 2 cake.",2 cake,2,cake,0,,"two cakes sit on a table, one a chocolate cake with white frosting and the other a vanilla cake with chocolate frosting, both decorated with colorful sprinkles."
"In one sentence, Describe a real scene about 2 bird.",2 bird,2,bird,0,,"two birds are perched atop a tree branch, chirping and singing to one another."
"In one sentence, Describe a real scene about 2 toothbrush.",2 toothbrush,2,toothbrush,0,,"two toothbrushes are sitting side by side on a bathroom counter, bristles facing up."
"In one sentence, Describe a real scene about 2 bear.",2 bear,2,bear,0,,"two bears are standing on their hind legs, sniffing the air and looking around curiously."
"In one sentence, Describe a real scene about 2 spoon.",2 spoon,2,spoon,0,,"two spoons are lying side-by-side on a kitchen counter, reflecting the sunlight coming in through the window."
"In one sentence, Describe a real scene about 1 wine glass.",1 wine glass,1,wine glass,0,,"a single, stemmed wine glass sits atop a white linen tablecloth, reflecting the warm glow of candlelight."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,"a group of friends are playing frisbee in a park on a sunny day, laughing and enjoying the game."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people sitting in different locations, working together on the same project remotely via video chat."
"In one sentence, Describe a real scene about 2 carrot.",2 carrot,2,carrot,0,,"two carrots lay side by side on a cutting board, ready to be chopped for a salad."
"In one sentence, Describe a real scene about 2 keyboard.",2 keyboard,2,keyboard,0,,"two people are typing away on two separate keyboards, their fingers quickly tapping the keys and the sound of the keys clacking filling the room."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a blue sedan is parked in a driveway, its engine still warm from a recent drive."
"In one sentence, Describe a real scene about 1 tennis racket.",1 tennis racket,1,tennis racket,0,,"a lone tennis racket sits on the court, its bright yellow strings glinting in the sun."
"In one sentence, Describe a real scene about 2 potted plant.",2 potted plant,2,potted plant,0,,"two potted plants sit side-by-side on a sunny windowsill, their green leaves swaying gently in the breeze."
"In one sentence, Describe a real scene about 2 car.",2 car,2,car,0,,"two cars are parked side by side in a parking lot, their engines idling and exhaust fumes rising into the air."
"In one sentence, Describe a real scene about 1 spoon.",1 spoon,1,spoon,0,,"a single stainless steel spoon sits on a white plate, reflecting the light from the kitchen window."
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,"a steaming cup of coffee sits on the kitchen counter, its aroma filling the room."
"In one sentence, Describe a real scene about 1 tennis racket.",1 tennis racket,1,tennis racket,0,,"a white tennis racket lies on the green grass court, its strings glinting in the sun."
"In one sentence, Describe a real scene about 2 banana.",2 banana,2,banana,0,,two ripe bananas are sitting side-by-side on a kitchen counter.
"In one sentence, Describe a real scene about 2 carrot.",2 carrot,2,carrot,0,,"two carrots lay side-by-side in a garden, their bright orange color standing out against the green foliage."
"In one sentence, Describe a real scene about 1 baseball glove.",1 baseball glove,1,baseball glove,0,,"a young boy is sitting in the grass, holding a worn and faded baseball glove, looking off into the distance with a smile on his face."
"In one sentence, Describe a real scene about 1 sports ball.",1 sports ball,1,sports ball,0,,"a basketball is bouncing on the court as a group of players run after it, trying to score a basket."
"In one sentence, Describe a real scene about 1 skis.",1 skis,1,skis,0,,"a skier is gliding down a snowy mountain, carving turns through the powdery white snow."
"In one sentence, Describe a real scene about 1 baseball bat.",1 baseball bat,1,baseball bat,0,,"a wooden baseball bat sits propped up against a white fence, waiting to be used in an upcoming game."
"In one sentence, Describe a real scene about 1 bird.",1 bird,1,bird,0,,"a small yellow bird is perched on a tree branch, chirping happily in the warm morning sun."
"In one sentence, Describe a real scene about 1 parking meter.",1 parking meter,1,parking meter,0,,"a parking meter stands alone in the corner of a busy city street, its red light flashing as it takes coins from drivers eager to find a spot."
"In one sentence, Describe a real scene about 1 traffic light.",1 traffic light,1,traffic light,0,,"the red traffic light illuminated the intersection, signaling drivers to stop and wait for the green light."
"In one sentence, Describe a real scene about 1 chair.",1 chair,1,chair,0,,"a single wooden chair sits in the corner of a room, its legs slightly uneven on the hardwood floor."
"In one sentence, Describe a real scene about 1 horse.",1 horse,1,horse,0,,"a beautiful chestnut horse is trotting gracefully across a lush green meadow, its mane and tail flowing in the breeze."
"In one sentence, Describe a real scene about 1 teddy bear.",1 teddy bear,1,teddy bear,0,,"a small, brown teddy bear sits on a bed, its button eyes looking up at the ceiling with a gentle, peaceful expression."
"In one sentence, Describe a real scene about 1 parking meter.",1 parking meter,1,parking meter,0,,"a single parking meter stands alone in the empty lot, its red light flashing as the wind whips through its metal body."
"In one sentence, Describe a real scene about 2 bear.",2 bear,2,bear,0,,"two bears are standing on their hind legs, looking at each other curiously in a grassy field."
"In one sentence, Describe a real scene about 2 bottle.",2 bottle,2,bottle,0,,"two bottles of water are sitting side-by-side on a picnic table in a park, glinting in the sunlight."
"In one sentence, Describe a real scene about 2 baseball bat.",2 baseball bat,2,baseball bat,0,,"two baseball bats are lying on the ground in a grassy field, waiting to be picked up and used for a game."
