meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
a airplane above a chair and on the left of a horse.,airplane,chair,horse,,above,on the left of,
a car between airplane and horse.,car,airplane,horse,,between,,
a airplane under a chair and below a horse.,airplane,chair,horse,,under,below,
a chair among car and dog.,chair,car,dog,,among,,
a car between person and airplane.,car,person,airplane,,between,,
a banana beneath a person and on the left of a chair.,banana,person,chair,,beneath,on the left of,
a dog below a cat and above a car.,dog,cat,car,,below,above,
a car on the right of a chair and below a cat.,car,chair,cat,,on the right of,below,
a banana below a airplane and above a car.,banana,airplane,car,,below,above,
a chair under a airplane and on the right of a banana.,chair,airplane,banana,,under,on the right of,
a dog above a airplane and under a person.,dog,airplane,person,,above,under,
a dog beneath a car and on the left of a person.,dog,car,person,,beneath,on the left of,
a person on the left of a banana and over a horse.,person,banana,horse,,on the left of,over,
a cat below a car and under a banana.,cat,car,banana,,below,under,
a horse under a dog and over a banana.,horse,dog,banana,,under,over,
a horse under a cat and below a airplane.,horse,cat,airplane,,under,below,
a car under a horse and on the left of a airplane.,car,horse,airplane,,under,on the left of,
a cat under a horse and on the right of a banana.,cat,horse,banana,,under,on the right of,
a dog beneath a chair and under a person.,dog,chair,person,,beneath,under,
a chair under a cat and beneath a dog.,chair,cat,dog,,under,beneath,
a airplane between cat and dog.,airplane,cat,dog,,between,,
a person above a chair and on a horse.,person,chair,horse,,above,on,
a dog over a airplane and above a car.,dog,airplane,car,,over,above,
a chair beneath a person and above a horse.,chair,person,horse,,beneath,above,
a chair on the right of a airplane and on the left of a car.,chair,airplane,car,,on the right of,on the left of,
a banana on the right of a car and over a dog.,banana,car,dog,,on the right of,over,
a dog on the right of a horse and under a person.,dog,horse,person,,on the right of,under,
a dog below a airplane and on the left of a person.,dog,airplane,person,,below,on the left of,
a banana on a dog and beneath a airplane.,banana,dog,airplane,,on,beneath,
a airplane under a chair and over a car.,airplane,chair,car,,under,over,
a chair under a horse and over a cat.,chair,horse,cat,,under,over,
a banana among cat and horse.,banana,cat,horse,,among,,
a car over a person and on the left of a chair.,car,person,chair,,over,on the left of,
a chair under a dog and on the left of a banana.,chair,dog,banana,,under,on the left of,
a car in the middle of dog and cat.,car,dog,cat,,in the middle of,,
a car over a dog and on the left of a person.,car,dog,person,,over,on the left of,
a horse under a airplane and on the right of a cat.,horse,airplane,cat,,under,on the right of,
a banana beneath a chair and below a cat.,banana,chair,cat,,beneath,below,
a cat above a horse and on a person.,cat,horse,person,,above,on,
a chair above a person and on the right of a cat.,chair,person,cat,,above,on the right of,
a chair below a cat and on a person.,chair,cat,person,,below,on,
a cat on the right of a horse and under a dog.,cat,horse,dog,,on the right of,under,
a car below a dog and on the left of a chair.,car,dog,chair,,below,on the left of,
a airplane on the left of a dog and beneath a banana.,airplane,dog,banana,,on the left of,beneath,
a airplane on the left of a banana and under a dog.,airplane,banana,dog,,on the left of,under,
a person among airplane and horse.,person,airplane,horse,,among,,
a dog beneath a cat and under a car.,dog,cat,car,,beneath,under,
a car over a cat and on the right of a banana.,car,cat,banana,,over,on the right of,
a car on the left of a banana and under a airplane.,car,banana,airplane,,on the left of,under,
a cat among airplane and person.,cat,airplane,person,,among,,
a airplane beneath a person and under a horse.,airplane,person,horse,,beneath,under,
a chair over a cat and above a banana.,chair,cat,banana,,over,above,
a airplane on a banana and below a horse.,airplane,banana,horse,,on,below,
a horse over a cat and on the left of a car.,horse,cat,car,,over,on the left of,
a chair on a car and above a airplane.,chair,car,airplane,,on,above,
a dog between chair and cat.,dog,chair,cat,,between,,
a dog on the right of a horse and beneath a chair.,dog,horse,chair,,on the right of,beneath,
a cat beneath a person and over a chair.,cat,person,chair,,beneath,over,
a chair on the left of a banana and under a horse.,chair,banana,horse,,on the left of,under,
a horse between person and chair.,horse,person,chair,,between,,
a cat over a person and beneath a dog.,cat,person,dog,,over,beneath,
a cat on the right of a dog and on the left of a banana.,cat,dog,banana,,on the right of,on the left of,
a person over a horse and on the left of a banana.,person,horse,banana,,over,on the left of,
a person between chair and cat.,person,chair,cat,,between,,
a chair on the left of a cat and on a airplane.,chair,cat,airplane,,on the left of,on,
a dog among person and car.,dog,person,car,,among,,
a cat on the right of a airplane and under a car.,cat,airplane,car,,on the right of,under,
a horse under a chair and on the right of a person.,horse,chair,person,,under,on the right of,
a cat on the right of a chair and on a horse.,cat,chair,horse,,on the right of,on,
a airplane under a dog and on a person.,airplane,dog,person,,under,on,
a person in the middle of horse and cat.,person,horse,cat,,in the middle of,,
a dog on the left of a person and on a chair.,dog,person,chair,,on the left of,on,
a dog on a horse and under a car.,dog,horse,car,,on,under,
a car over a chair and under a airplane.,car,chair,airplane,,over,under,
a banana under a dog and beneath a airplane.,banana,dog,airplane,,under,beneath,
a banana over a chair and on the left of a cat.,banana,chair,cat,,over,on the left of,
a horse beneath a airplane and above a person.,horse,airplane,person,,beneath,above,
a banana beneath a airplane and on the left of a cat.,banana,airplane,cat,,beneath,on the left of,
a cat below a banana and on a chair.,cat,banana,chair,,below,on,
a airplane beneath a banana and on the right of a dog.,airplane,banana,dog,,beneath,on the right of,
a person above a airplane and under a chair.,person,airplane,chair,,above,under,
a person beneath a horse and under a chair.,person,horse,chair,,beneath,under,
a car among chair and dog.,car,chair,dog,,among,,
a cat on the left of a banana and beneath a person.,cat,banana,person,,on the left of,beneath,
a cat above a chair and on the right of a dog.,cat,chair,dog,,above,on the right of,
a person above a dog and over a horse.,person,dog,horse,,above,over,
a banana beneath a dog and on the left of a person.,banana,dog,person,,beneath,on the left of,
a car beneath a dog and over a person.,car,dog,person,,beneath,over,
a airplane on a cat and on the left of a dog.,airplane,cat,dog,,on,on the left of,
a airplane over a dog and on the left of a chair.,airplane,dog,chair,,over,on the left of,
a car below a horse and on the left of a cat.,car,horse,cat,,below,on the left of,
a car below a airplane and above a person.,car,airplane,person,,below,above,
a airplane below a horse and on the left of a banana.,airplane,horse,banana,,below,on the left of,
a cat under a car and over a chair.,cat,car,chair,,under,over,
a cat among banana and dog.,cat,banana,dog,,among,,
a person under a horse and on the left of a dog.,person,horse,dog,,under,on the left of,
a airplane above a car and on the right of a chair.,airplane,car,chair,,above,on the right of,
a dog on a horse and above a car.,dog,horse,car,,on,above,
a chair on a airplane and on the right of a cat.,chair,airplane,cat,,on,on the right of,
a dog on the left of a car and on a person.,dog,car,person,,on the left of,on,
a cat in the middle of chair and dog.,cat,chair,dog,,in the middle of,,
a cat above a dog and over a horse.,cat,dog,horse,,above,over,
a airplane below a banana and on the right of a car.,airplane,banana,car,,below,on the right of,
a horse above a chair and on a dog.,horse,chair,dog,,above,on,
a airplane on a person and over a chair.,airplane,person,chair,,on,over,
a horse under a airplane and on a dog.,horse,airplane,dog,,under,on,
a banana on the right of a cat and under a car.,banana,cat,car,,on the right of,under,
a car on the right of a dog and below a horse.,car,dog,horse,,on the right of,below,
a banana over a cat and below a chair.,banana,cat,chair,,over,below,
a banana below a airplane and above a chair.,banana,airplane,chair,,below,above,
a dog between chair and airplane.,dog,chair,airplane,,between,,
a dog on the right of a airplane and beneath a car.,dog,airplane,car,,on the right of,beneath,
a airplane over a horse and above a car.,airplane,horse,car,,over,above,
a car over a person and on the right of a horse.,car,person,horse,,over,on the right of,
a cat beneath a person and above a horse.,cat,person,horse,,beneath,above,
a chair among car and airplane.,chair,car,airplane,,among,,
a cat above a car and over a chair.,cat,car,chair,,above,over,
a person above a airplane and on the left of a car.,person,airplane,car,,above,on the left of,
a cat under a dog and below a horse.,cat,dog,horse,,under,below,
a horse below a person and under a chair.,horse,person,chair,,below,under,
a person under a cat and on the right of a car.,person,cat,car,,under,on the right of,
a person on a dog and beneath a airplane.,person,dog,airplane,,on,beneath,
a person over a dog and on a horse.,person,dog,horse,,over,on,
a cat on a banana and on the right of a person.,cat,banana,person,,on,on the right of,
a banana on the left of a person and on the right of a dog.,banana,person,dog,,on the left of,on the right of,
a airplane on a horse and on the right of a banana.,airplane,horse,banana,,on,on the right of,
a cat on a person and over a airplane.,cat,person,airplane,,on,over,
a banana among person and car.,banana,person,car,,among,,
a person among airplane and horse.,person,airplane,horse,,among,,
a horse on a banana and on the right of a chair.,horse,banana,chair,,on,on the right of,
a chair over a car and on the left of a banana.,chair,car,banana,,over,on the left of,
a chair among airplane and dog.,chair,airplane,dog,,among,,
a person and chair on a cat and over a banana.,person,chair,cat,banana,on,over,
a person and car over a chair and below a horse.,person,car,chair,horse,over,below,
a person and airplane beneath a horse and above a banana.,person,airplane,horse,banana,beneath,above,
a person and chair under a banana and over a car.,person,chair,banana,car,under,over,
a car and dog under a horse and on the left of a airplane.,car,dog,horse,airplane,under,on the left of,
a car and a dog among horse and banana.,car,dog,horse,banana,among,,
a person and horse on a car and over a dog.,person,horse,car,dog,on,over,
a person and chair beneath a airplane and below a banana.,person,chair,airplane,banana,beneath,below,
a person and horse on a banana and below a car.,person,horse,banana,car,on,below,
a person and a car among airplane and banana.,person,car,airplane,banana,among,,
a car and a dog among horse and banana.,car,dog,horse,banana,among,,
a car and dog on a airplane and under a banana.,car,dog,airplane,banana,on,under,
a car and cat above a chair and on a dog.,car,cat,chair,dog,above,on,
a person and airplane above a chair and under a cat.,person,airplane,chair,cat,above,under,
a cat and horse on a dog and below a banana.,cat,horse,dog,banana,on,below,
a person and car above a horse and on a chair.,person,car,horse,chair,above,on,
a car and chair on the left of a banana and beneath a cat.,car,chair,banana,cat,on the left of,beneath,
a car and horse on the right of a dog and over a banana.,car,horse,dog,banana,on the right of,over,
a car and a banana in the middle of dog and chair.,car,banana,dog,chair,in the middle of,,
a person and a cat among banana and chair.,person,cat,banana,chair,among,,
a car and a airplane among dog and cat.,car,airplane,dog,cat,among,,
a airplane and dog beneath a horse and on the left of a cat.,airplane,dog,horse,cat,beneath,on the left of,
a person and a cat among chair and banana.,person,cat,chair,banana,among,,
a car and a chair between dog and airplane.,car,chair,dog,airplane,between,,
a car and banana below a airplane and over a horse.,car,banana,airplane,horse,below,over,
a person and a banana between dog and chair.,person,banana,dog,chair,between,,
a cat and a horse between dog and banana.,cat,horse,dog,banana,between,,
a car and cat beneath a airplane and below a banana.,car,cat,airplane,banana,beneath,below,
a car and a chair in the middle of cat and horse.,car,chair,cat,horse,in the middle of,,
a person and banana on the left of a horse and on the right of a dog.,person,banana,horse,dog,on the left of,on the right of,
a person and airplane beneath a car and on the right of a cat.,person,airplane,car,cat,beneath,on the right of,
a car and horse above a cat and over a chair.,car,horse,cat,chair,above,over,
a car and a banana in the middle of airplane and horse.,car,banana,airplane,horse,in the middle of,,
a person and chair on the right of a airplane and on the left of a dog.,person,chair,airplane,dog,on the right of,on the left of,
a car and dog over a airplane and on a chair.,car,dog,airplane,chair,over,on,
a person and airplane on the left of a banana and under a cat.,person,airplane,banana,cat,on the left of,under,
a airplane and a horse between dog and cat.,airplane,horse,dog,cat,between,,
a person and a chair among dog and banana.,person,chair,dog,banana,among,,
a car and horse over a airplane and below a dog.,car,horse,airplane,dog,over,below,
a person and horse above a car and on the right of a dog.,person,horse,car,dog,above,on the right of,
a car and a horse in the middle of chair and cat.,car,horse,chair,cat,in the middle of,,
a car and banana below a chair and on a dog.,car,banana,chair,dog,below,on,
a car and horse over a dog and under a cat.,car,horse,dog,cat,over,under,
a person and airplane over a car and below a cat.,person,airplane,car,cat,over,below,
a car and dog on the right of a airplane and beneath a chair.,car,dog,airplane,chair,on the right of,beneath,
a person and banana under a chair and above a car.,person,banana,chair,car,under,above,
a person and airplane over a banana and under a chair.,person,airplane,banana,chair,over,under,
a cat and a dog among horse and chair.,cat,dog,horse,chair,among,,
a airplane and dog below a chair and on a horse.,airplane,dog,chair,horse,below,on,
a car and horse on the left of a banana and under a cat.,car,horse,banana,cat,on the left of,under,
a person and horse on a chair and under a car.,person,horse,chair,car,on,under,
a person and banana on a airplane and below a cat.,person,banana,airplane,cat,on,below,
a person and chair above a airplane and on the left of a horse.,person,chair,airplane,horse,above,on the left of,
a person and horse over a banana and under a cat.,person,horse,banana,cat,over,under,
a car and chair below a horse and beneath a dog.,car,chair,horse,dog,below,beneath,
a person and dog under a car and over a airplane.,person,dog,car,airplane,under,over,
a person and car on a chair and on the right of a dog.,person,car,chair,dog,on,on the right of,
a person and banana below a dog and on the left of a car.,person,banana,dog,car,below,on the left of,
a person and banana on the left of a chair and below a airplane.,person,banana,chair,airplane,on the left of,below,
a car and horse beneath a airplane and above a dog.,car,horse,airplane,dog,beneath,above,
a car and chair beneath a banana and on the left of a dog.,car,chair,banana,dog,beneath,on the left of,
a person and banana beneath a chair and on the right of a horse.,person,banana,chair,horse,beneath,on the right of,
a airplane and banana below a chair and on the left of a dog.,airplane,banana,chair,dog,below,on the left of,
a airplane and chair on the left of a banana and on the right of a dog.,airplane,chair,banana,dog,on the left of,on the right of,
a person and a banana in the middle of chair and dog.,person,banana,chair,dog,in the middle of,,
a airplane and dog above a horse and on the right of a cat.,airplane,dog,horse,cat,above,on the right of,
a car and a airplane among horse and cat.,car,airplane,horse,cat,among,,
a airplane and dog on the right of a horse and on the left of a chair.,airplane,dog,horse,chair,on the right of,on the left of,
a airplane and a dog among horse and cat.,airplane,dog,horse,cat,among,,
a person and airplane beneath a banana and on the left of a cat.,person,airplane,banana,cat,beneath,on the left of,
a car and cat on the left of a horse and over a dog.,car,cat,horse,dog,on the left of,over,
a car and dog below a chair and over a airplane.,car,dog,chair,airplane,below,over,
a person and chair on a cat and beneath a banana.,person,chair,cat,banana,on,beneath,
a cat and chair on the left of a dog and above a banana.,cat,chair,dog,banana,on the left of,above,
a airplane and horse beneath a banana and on the left of a dog.,airplane,horse,banana,dog,beneath,on the left of,
a person and cat on a airplane and below a dog.,person,cat,airplane,dog,on,below,
a person and banana on a horse and on the right of a dog.,person,banana,horse,dog,on,on the right of,
a person and chair on a banana and on the left of a airplane.,person,chair,banana,airplane,on,on the left of,
a car and banana over a horse and on the right of a dog.,car,banana,horse,dog,over,on the right of,
a person and banana on the right of a airplane and on the left of a horse.,person,banana,airplane,horse,on the right of,on the left of,
a person and dog beneath a banana and under a car.,person,dog,banana,car,beneath,under,
a cat and dog on a banana and above a horse.,cat,dog,banana,horse,on,above,
a car and cat over a banana and under a dog.,car,cat,banana,dog,over,under,
a person and a cat among dog and banana.,person,cat,dog,banana,among,,
a airplane and chair beneath a dog and over a cat.,airplane,chair,dog,cat,beneath,over,
a person and car under a chair and below a dog.,person,car,chair,dog,under,below,
a car and a chair among cat and banana.,car,chair,cat,banana,among,,
a airplane and dog beneath a chair and above a cat.,airplane,dog,chair,cat,beneath,above,
a car and horse on a dog and on the right of a chair.,car,horse,dog,chair,on,on the right of,
a person and banana over a dog and on the left of a airplane.,person,banana,dog,airplane,over,on the left of,
a person and a chair in the middle of horse and dog.,person,chair,horse,dog,in the middle of,,
a person and cat above a horse and under a chair.,person,cat,horse,chair,above,under,
a car and a dog among airplane and chair.,car,dog,airplane,chair,among,,
a person and horse on the left of a banana and on a car.,person,horse,banana,car,on the left of,on,
a car and dog over a cat and on a banana.,car,dog,cat,banana,over,on,
a person and horse beneath a cat and over a dog.,person,horse,cat,dog,beneath,over,
a airplane and a banana between dog and horse.,airplane,banana,dog,horse,between,,
a person and a chair between airplane and car.,person,chair,airplane,car,between,,
a car and cat over a chair and on the right of a dog.,car,cat,chair,dog,over,on the right of,
a car and a airplane in the middle of dog and horse.,car,airplane,dog,horse,in the middle of,,
a car and dog on the right of a banana and below a chair.,car,dog,banana,chair,on the right of,below,
a car and banana beneath a dog and below a airplane.,car,banana,dog,airplane,beneath,below,
a person and banana on the right of a car and on a dog.,person,banana,car,dog,on the right of,on,
a person and car under a airplane and on the right of a horse.,person,car,airplane,horse,under,on the right of,
a person and a dog in the middle of airplane and horse.,person,dog,airplane,horse,in the middle of,,
a car and a banana among airplane and chair.,car,banana,airplane,chair,among,,
a person and banana on the left of a dog and beneath a car.,person,banana,dog,car,on the left of,beneath,
a person and horse under a chair and below a banana.,person,horse,chair,banana,under,below,
a person and chair above a car and beneath a horse.,person,chair,car,horse,above,beneath,
a person and horse beneath a car and on the right of a dog.,person,horse,car,dog,beneath,on the right of,
a person and a car among cat and chair.,person,car,cat,chair,among,,
a car and banana over a chair and on a dog.,car,banana,chair,dog,over,on,
a person and horse on the right of a chair and below a airplane.,person,horse,chair,airplane,on the right of,below,
a car and horse above a chair and beneath a cat.,car,horse,chair,cat,above,beneath,
a airplane and horse beneath a chair and on the right of a banana.,airplane,horse,chair,banana,beneath,on the right of,
a person and airplane beneath a car and over a cat.,person,airplane,car,cat,beneath,over,
a person and horse beneath a banana and under a dog.,person,horse,banana,dog,beneath,under,
a person and banana above a cat and on a chair.,person,banana,cat,chair,above,on,
a car and a airplane in the middle of horse and chair.,car,airplane,horse,chair,in the middle of,,
a car and cat above a horse and below a airplane.,car,cat,horse,airplane,above,below,
a person and car on the left of a banana and under a chair.,person,car,banana,chair,on the left of,under,
a car and a cat in the middle of dog and airplane.,car,cat,dog,airplane,in the middle of,,
a person and chair under a cat and on the right of a banana.,person,chair,cat,banana,under,on the right of,
a person and car above a cat and on the left of a banana.,person,car,cat,banana,above,on the left of,
a car and banana on the right of a airplane and on a cat.,car,banana,airplane,cat,on the right of,on,
a person and airplane under a car and over a dog.,person,airplane,car,dog,under,over,
a airplane and banana over a chair and beneath a cat.,airplane,banana,chair,cat,over,beneath,
a cat and chair over a banana and above a horse.,cat,chair,banana,horse,over,above,
a person and chair on the left of a cat and on the right of a dog.,person,chair,cat,dog,on the left of,on the right of,
a airplane and cat on the left of a chair and on the right of a banana.,airplane,cat,chair,banana,on the left of,on the right of,
a person and horse over a banana and below a car.,person,horse,banana,car,over,below,
a airplane and chair on the right of a cat and above a horse.,airplane,chair,cat,horse,on the right of,above,
a person and horse on a chair and under a airplane.,person,horse,chair,airplane,on,under,
a airplane and horse below a cat and under a dog.,airplane,horse,cat,dog,below,under,
a person and cat beneath a banana and above a airplane.,person,cat,banana,airplane,beneath,above,
a person and a dog among chair and horse.,person,dog,chair,horse,among,,
a person and car below a airplane and above a dog.,person,car,airplane,dog,below,above,
a person and a cat among banana and horse.,person,cat,banana,horse,among,,
a person and chair above a dog and below a horse.,person,chair,dog,horse,above,below,
a airplane and a dog in the middle of cat and chair.,airplane,dog,cat,chair,in the middle of,,
a cat and banana over a horse and on the right of a chair.,cat,banana,horse,chair,over,on the right of,
a person and a airplane between banana and chair.,person,airplane,banana,chair,between,,
a car and airplane beneath a dog and over a chair.,car,airplane,dog,chair,beneath,over,
a car and a dog between banana and horse.,car,dog,banana,horse,between,,
a airplane and chair under a cat and below a horse.,airplane,chair,cat,horse,under,below,
a cat and dog below a banana and on a chair.,cat,dog,banana,chair,below,on,
a airplane and a chair between cat and horse.,airplane,chair,cat,horse,between,,
a person and airplane under a cat and beneath a car.,person,airplane,cat,car,under,beneath,
a person and horse over a cat and beneath a car.,person,horse,cat,car,over,beneath,
a person and horse on the right of a cat and beneath a banana.,person,horse,cat,banana,on the right of,beneath,
a car and banana on the right of a airplane and under a dog.,car,banana,airplane,dog,on the right of,under,
a person and dog on the right of a horse and on a chair.,person,dog,horse,chair,on the right of,on,
a airplane and banana on the left of a dog and under a cat.,airplane,banana,dog,cat,on the left of,under,
a person and dog over a banana and under a chair.,person,dog,banana,chair,over,under,
a car and a banana in the middle of cat and airplane.,car,banana,cat,airplane,in the middle of,,
a airplane and dog on the left of a horse and on a cat.,airplane,dog,horse,cat,on the left of,on,
a person and horse on a banana and beneath a cat.,person,horse,banana,cat,on,beneath,
a person and dog on a car and on the left of a horse.,person,dog,car,horse,on,on the left of,
a person and a airplane among horse and cat.,person,airplane,horse,cat,among,,
a person and cat above a dog and under a banana.,person,cat,dog,banana,above,under,
a person and chair on the left of a car and on a horse.,person,chair,car,horse,on the left of,on,
a airplane and chair on a dog and above a cat.,airplane,chair,dog,cat,on,above,
a person and horse on the left of a cat and above a dog.,person,horse,cat,dog,on the left of,above,
a airplane and cat on the left of a dog and under a banana.,airplane,cat,dog,banana,on the left of,under,
a car and dog on the right of a horse and on the left of a cat.,car,dog,horse,cat,on the right of,on the left of,
a airplane and cat on the right of a dog and below a banana.,airplane,cat,dog,banana,on the right of,below,
a car and airplane above a horse and under a dog.,car,airplane,horse,dog,above,under,
a car and chair over a airplane and below a cat.,car,chair,airplane,cat,over,below,
a person and a car among banana and horse.,person,car,banana,horse,among,,
a person and airplane on the right of a banana and beneath a horse.,person,airplane,banana,horse,on the right of,beneath,
a person and banana on the right of a cat and below a dog.,person,banana,cat,dog,on the right of,below,
a car and cat under a banana and above a chair.,car,cat,banana,chair,under,above,
a person and car over a dog and above a chair.,person,car,dog,chair,over,above,
a car and a horse in the middle of cat and dog.,car,horse,cat,dog,in the middle of,,
a person and car under a airplane and below a horse.,person,car,airplane,horse,under,below,
a person and horse on the left of a car and on a cat.,person,horse,car,cat,on the left of,on,
a person and airplane below a car and under a horse.,person,airplane,car,horse,below,under,
a person and dog on the left of a horse and beneath a banana.,person,dog,horse,banana,on the left of,beneath,
a person and airplane under a banana and on the right of a cat.,person,airplane,banana,cat,under,on the right of,
a person and airplane beneath a chair and on the left of a cat.,person,airplane,chair,cat,beneath,on the left of,
a person and dog under a banana and above a horse.,person,dog,banana,horse,under,above,
a person and a chair between airplane and horse.,person,chair,airplane,horse,between,,
a airplane and chair under a banana and beneath a cat.,airplane,chair,banana,cat,under,beneath,
a car and dog beneath a chair and under a horse.,car,dog,chair,horse,beneath,under,
a person and a horse in the middle of dog and cat.,person,horse,dog,cat,in the middle of,,
a person and horse beneath a car and on a chair.,person,horse,car,chair,beneath,on,
a person and horse on the left of a chair and on a car.,person,horse,chair,car,on the left of,on,
a car and chair beneath a banana and below a horse.,car,chair,banana,horse,beneath,below,
a person and car above a airplane and under a dog.,person,car,airplane,dog,above,under,
a person and a horse between dog and chair.,person,horse,dog,chair,between,,
a person and horse on the left of a dog and on a cat.,person,horse,dog,cat,on the left of,on,
a person and a chair between airplane and cat.,person,chair,airplane,cat,between,,
a person and a dog in the middle of cat and banana.,person,dog,cat,banana,in the middle of,,
a person and car beneath a horse and below a chair.,person,car,horse,chair,beneath,below,
a airplane and cat below a banana and on a horse.,airplane,cat,banana,horse,below,on,
a car and a chair between airplane and banana.,car,chair,airplane,banana,between,,
a car and banana over a horse and beneath a cat.,car,banana,horse,cat,over,beneath,
a airplane and dog on the right of a banana and on a horse.,airplane,dog,banana,horse,on the right of,on,
a person and car on the left of a horse and on a cat.,person,car,horse,cat,on the left of,on,
a car and banana under a dog and over a cat.,car,banana,dog,cat,under,over,
a airplane and dog beneath a cat and under a horse.,airplane,dog,cat,horse,beneath,under,
a person and horse on the left of a car and above a banana.,person,horse,car,banana,on the left of,above,
a airplane and a chair among horse and cat.,airplane,chair,horse,cat,among,,
a car and dog on a chair and beneath a airplane.,car,dog,chair,airplane,on,beneath,
a cat and a dog between banana and horse.,cat,dog,banana,horse,between,,
a car and a horse among banana and dog.,car,horse,banana,dog,among,,
a person and banana over a airplane and on a car.,person,banana,airplane,car,over,on,
a car and horse below a cat and beneath a airplane.,car,horse,cat,airplane,below,beneath,
a car and banana on the right of a horse and on a dog.,car,banana,horse,dog,on the right of,on,
a person and dog under a chair and above a cat.,person,dog,chair,cat,under,above,
a airplane and banana over a dog and above a chair.,airplane,banana,dog,chair,over,above,
a car and chair on the left of a banana and on the right of a dog.,car,chair,banana,dog,on the left of,on the right of,
a person and car over a cat and under a chair.,person,car,cat,chair,over,under,
a person and banana over a dog and below a cat.,person,banana,dog,cat,over,below,
a person and dog on a airplane and over a banana.,person,dog,airplane,banana,on,over,
a airplane and a chair among cat and banana.,airplane,chair,cat,banana,among,,
a person and horse on the right of a dog and on the left of a banana.,person,horse,dog,banana,on the right of,on the left of,
a car and banana on a horse and on the left of a airplane.,car,banana,horse,airplane,on,on the left of,
a person and dog under a cat and beneath a horse.,person,dog,cat,horse,under,beneath,
a person and airplane beneath a horse and on the right of a dog.,person,airplane,horse,dog,beneath,on the right of,
a car and cat on the left of a dog and beneath a airplane.,car,cat,dog,airplane,on the left of,beneath,
a person and banana on the right of a chair and over a dog.,person,banana,chair,dog,on the right of,over,
a person and airplane on a cat and beneath a car.,person,airplane,cat,car,on,beneath,
a car and chair over a airplane and below a banana.,car,chair,airplane,banana,over,below,
a person and airplane over a car and under a chair.,person,airplane,car,chair,over,under,
a person and cat on a chair and on the right of a car.,person,cat,chair,car,on,on the right of,
a car and airplane over a cat and on the left of a banana.,car,airplane,cat,banana,over,on the left of,
a car and cat on the left of a horse and under a banana.,car,cat,horse,banana,on the left of,under,
a person and banana below a chair and over a car.,person,banana,chair,car,below,over,
a airplane and a banana among horse and cat.,airplane,banana,horse,cat,among,,
a person and airplane below a cat and on a car.,person,airplane,cat,car,below,on,
a car and chair on the right of a airplane and below a dog.,car,chair,airplane,dog,on the right of,below,
a person and banana on the left of a chair and above a dog.,person,banana,chair,dog,on the left of,above,
a person and a dog between chair and horse.,person,dog,chair,horse,between,,
a car and a horse between chair and dog.,car,horse,chair,dog,between,,
a car and airplane on the left of a banana and beneath a cat.,car,airplane,banana,cat,on the left of,beneath,
a person and car on the left of a chair and above a airplane.,person,car,chair,airplane,on the left of,above,
a car and airplane over a banana and on the left of a chair.,car,airplane,banana,chair,over,on the left of,
a airplane and banana beneath a chair and under a cat.,airplane,banana,chair,cat,beneath,under,
a cat and dog over a chair and on the left of a horse.,cat,dog,chair,horse,over,on the left of,
a cat and banana over a chair and on a dog.,cat,banana,chair,dog,over,on,
a car and horse under a chair and on the left of a airplane.,car,horse,chair,airplane,under,on the left of,
a cat and a dog in the middle of horse and banana.,cat,dog,horse,banana,in the middle of,,
a car and banana over a airplane and below a cat.,car,banana,airplane,cat,over,below,
a person and a dog among airplane and car.,person,dog,airplane,car,among,,
a car and cat on the left of a airplane and below a chair.,car,cat,airplane,chair,on the left of,below,
a person and dog on a banana and on the right of a horse.,person,dog,banana,horse,on,on the right of,
a airplane and cat over a banana and on a dog.,airplane,cat,banana,dog,over,on,
a person and airplane beneath a banana and on the right of a car.,person,airplane,banana,car,beneath,on the right of,
a person and a banana between horse and chair.,person,banana,horse,chair,between,,
a car and horse below a airplane and under a cat.,car,horse,airplane,cat,below,under,
a person and dog under a cat and beneath a chair.,person,dog,cat,chair,under,beneath,
a airplane and chair above a horse and on a banana.,airplane,chair,horse,banana,above,on,
a airplane and horse on a chair and on the right of a dog.,airplane,horse,chair,dog,on,on the right of,
a dog and chair above a horse and under a banana.,dog,chair,horse,banana,above,under,
a cat and a horse between banana and dog.,cat,horse,banana,dog,between,,
a person and banana above a car and on the right of a cat.,person,banana,car,cat,above,on the right of,
a person and a dog in the middle of horse and cat.,person,dog,horse,cat,in the middle of,,
a person and banana below a airplane and over a car.,person,banana,airplane,car,below,over,
a person and a banana between car and horse.,person,banana,car,horse,between,,
a car and a horse among airplane and banana.,car,horse,airplane,banana,among,,
a airplane and banana on the right of a horse and below a chair.,airplane,banana,horse,chair,on the right of,below,
a person and airplane above a chair and on the left of a horse.,person,airplane,chair,horse,above,on the left of,
a airplane and horse under a cat and over a banana.,airplane,horse,cat,banana,under,over,
a airplane and chair under a banana and on the right of a horse.,airplane,chair,banana,horse,under,on the right of,
a person and chair on a banana and on the right of a dog.,person,chair,banana,dog,on,on the right of,
a car and horse beneath a chair and below a dog.,car,horse,chair,dog,beneath,below,
a person and a car in the middle of cat and airplane.,person,car,cat,airplane,in the middle of,,
a airplane and chair on the left of a horse and below a dog.,airplane,chair,horse,dog,on the left of,below,
a car and dog above a chair and below a horse.,car,dog,chair,horse,above,below,
a car and banana on the right of a horse and below a cat.,car,banana,horse,cat,on the right of,below,
a cat and dog on the left of a chair and above a horse.,cat,dog,chair,horse,on the left of,above,
